hypothesis_id,comparison,baseline_backend,candidate_backend,observable,channel_kind,channel_index,time,baseline_value,candidate_value,abs_error,drift_kind,warning_threshold,fail_threshold,verdict
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,2,0.25,-0.921184941973,-0.865234375,0.05595056697300005,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,2,0.25,-0.921184941973,-0.91015625,0.011028691973000049,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,2,0.25,-0.91015625,-0.865234375,0.044921875,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,2,0.5,-0.703385593685,-0.7109375,0.007551906315000023,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,2,0.5,-0.703385593685,-0.73046875,0.027083156315000023,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,2,0.5,-0.73046875,-0.7109375,0.01953125,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,2,1.0,-0.185022148573,-0.140625,0.044397148573000006,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,2,1.0,-0.185022148573,-0.146484375,0.038537773573000006,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,2,1.0,-0.146484375,-0.140625,0.005859375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,3,0.0,-1.0,-0.994140625,0.005859375,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,3,0.0,-1.0,-1.0,0.0,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,3,0.0,-1.0,-0.994140625,0.005859375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,3,0.25,-0.922588096641,-0.880859375,0.041728721641000055,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,3,0.25,-0.922588096641,-0.912109375,0.010478721641000055,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,3,0.25,-0.912109375,-0.880859375,0.03125,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,3,0.5,-0.719508929534,-0.65234375,0.06716517953400003,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,3,0.5,-0.719508929534,-0.6796875,0.03982142953400003,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,3,0.5,-0.6796875,-0.65234375,0.02734375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,z_expectation,site,3,1.0,-0.245952768996,-0.21484375,0.031109018995999993,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,z_expectation,site,3,1.0,-0.245952768996,-0.220703125,0.025249643995999993,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,z_expectation,site,3,1.0,-0.220703125,-0.21484375,0.005859375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,0,0.0,1.0,1.0,0.0,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,0,0.0,1.0,1.0,0.0,shot_drift,0.08,0.18,pass
