run_id,hypothesis_id,model,lattice_size,transverse_field,exchange_coupling,boundary,mass_gap,ground_energy,first_excited_energy,hamiltonian_hash
20260524T200833Z,gaugegap-0001,z2_dual_chain,8,1.4,1,open,1.04611386657,-12.4807069447,-11.4345930782,d4a0ceea76814cbd6239c01210737a6e1dabc15ffd261bcf907f8b54d6ca6aa6
20260524T200833Z,gaugegap-0001,z2_dual_chain,8,1.6,1,open,1.41990512939,-13.9139762952,-12.4940711658,9325498668166d33c7370acd6fe3493872697061e11ce15f7531302074e2958f
20260524T200833Z,gaugegap-0001,z2_dual_chain,8,1.8,1,open,1.80253450442,-15.3862567599,-13.5837222554,1e6a9ccebc106c8a7ecfa53aa8464c1c5a89117f66ac1d49a6e349cd0bc71258
20260524T200833Z,gaugegap-0001,z2_dual_chain,8,2,1,open,2.19024713988,-16.8851414932,-14.6948943533,30e719052de1ea6d71e62691b845161c7f133bc43670148b55654851e7527667
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,0.2,1,open,1.96608000991e-07,-9.12035417019,-9.12035397358,ea1f497ac348db776749904505d5cee7a6b8a2466cb96232d6b7cdb665438e5c
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,0.4,1,open,0.00017616078396,-9.48596380155,-9.48578764077,9038c4d3237bd6efd27751fe5be90ddc9eefe4081a8c9c4dbc78dce11c903b9e
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,0.6,1,open,0.00774138067967,-10.1156698664,-10.1079284857,c45bce50bca457833c97dd52c2459da65391811f39d1ef6ace662076f771effa
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,0.8,1,open,0.0802302616828,-11.0674909449,-10.9872606832,71764b5031aabff53541f1f4826f682c2860a7098219dc3c51643d0d81fa0321
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,1,1,open,0.298920374346,-12.3814899997,-12.0825696253,1f2ab33140a7da5bb980640f5159346e10fb6a2085125afa8b00b09ad3c22439
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,1.2,1,open,0.619007076103,-13.9473400175,-13.3283329414,f774e9246d9e9ee10fb2892da36708541e9aea96d6c51d07278cc975ce3c7874
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,1.4,1,open,0.979801495981,-15.6510755321,-14.6712740361,603a519b92ea20ef8980e4968b0557f0968e050d25e1fed4664e248c4c29ba3f
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,1.6,1,open,1.35742502414,-17.4349917321,-16.0775667079,baff0c1fbca3e4fc56032b421b88d0ab79d017f21d39399d7334581b84b43e8e
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,1.8,1,open,1.74315052987,-19.269865262,-17.5267147321,54f04f5a407ab514ab38ce209a9fe5d229e7b35e28a910597d97bbd9a4f43346
20260524T200833Z,gaugegap-0001,z2_dual_chain,10,2,1,open,2.13330719272,-21.1393191156,-19.0060119229,c47a7f6fd36fe8df7719d10174a5a0e286ec95dd7b6555d2f7f01a9d6255b43b
