run_id,hypothesis_id,observable,value,g_electric,g_magnetic,n_links,truncation
20260525T012300Z,gaugegap-0002,mass_gap,0.28989794855663575,1.0,0.1,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.07633320068963445,1.0,0.42222222222222217,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.041122208305615526,1.0,0.7444444444444444,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.027962133581204363,1.0,1.0666666666666667,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.021151061490815692,1.0,1.3888888888888888,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.016999107839270167,1.0,1.711111111111111,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.014206400284119347,1.0,2.033333333333333,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.012200363847824747,1.0,2.3555555555555556,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.010690044395222031,1.0,2.6777777777777776,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.009512083783951297,1.0,2.9999999999999996,2,1
20260525T012300Z,gaugegap-0002,mass_gap,0.3569216844093018,1.0,0.1,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.25191790039137874,1.0,0.42222222222222217,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.22484628617395197,1.0,0.7444444444444444,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.19927978756575548,1.0,1.0666666666666667,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.1756310769103897,1.0,1.3888888888888888,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.15528857100899796,1.0,1.711111111111111,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.13829006736791083,1.0,2.033333333333333,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.12417262437602083,1.0,2.3555555555555556,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.11240218535262336,1.0,2.6777777777777776,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.10251022057774328,1.0,2.9999999999999996,2,2
20260525T012300Z,gaugegap-0002,mass_gap,0.25579396712042085,1.0,0.1,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.017171788106862484,1.0,0.42222222222222217,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.004936523849922381,1.0,0.7444444444444444,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.002290188330758447,1.0,1.0666666666666667,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.0013150544900675243,1.0,1.3888888888888888,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.000851855175346472,1.0,1.711111111111111,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.0005962684569826848,1.0,2.033333333333333,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.00044053043825975635,1.0,2.3555555555555556,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.00033868567770056757,1.0,2.6777777777777776,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.00026846390255030883,1.0,2.9999999999999996,3,1
20260525T012300Z,gaugegap-0002,mass_gap,0.3251418634015898,1.0,0.1,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.16817711690306159,1.0,0.42222222222222217,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.1345267513336137,1.0,0.7444444444444444,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.10160518118559914,1.0,1.0666666666666667,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.07488462710518373,1.0,1.3888888888888888,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.05577916338329647,1.0,1.711111111111111,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.042508618034585055,1.0,2.033333333333333,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.03320090310729462,1.0,2.3555555555555556,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.026526511649358042,1.0,2.6777777777777776,3,2
20260525T012300Z,gaugegap-0002,mass_gap,0.02162114524325709,1.0,2.9999999999999996,3,2
