index,x,y,z,polar_deg,azimuth_deg,singlet_yield,antipodal_singlet_yield
0,0.03619216380080609,-0.0930866654221518,0.995,5.731967965197727,291.2461179749811,0.6567127425374644,0.6567127425374666
1,-0.1547437673795711,0.07635028786571275,0.985,9.936367072140724,153.73835392494323,0.653529286814053,0.6535292868140532
2,0.21334879620162187,0.06210709427528281,0.975,12.838568140984059,16.230589874905217,0.6503779977190391,0.6503779977190367
3,-0.1361545433970866,-0.224135986205542,0.965,15.203604093293013,238.7228258248674,0.6472588747101652,0.6472588747101651
4,-0.05768751900877799,0.2909418329333407,0.955,17.253853117357284,101.21506177482944,0.64417191725524,0.6441719172552427
5,0.26361988866452085,-0.19359636954371254,0.945,19.09105251286037,323.70729772479143,0.6411171248396232,0.6411171248396219
6,-0.3525736770010519,-0.038298854890946775,0.935,20.771855045328252,186.19953367475344,0.6380944969714784,0.6380944969714775
7,0.2508199246075502,0.28541963040383667,0.925,22.331645009221504,48.69176962471545,0.6351040331843649,0.6351040331843655
8,0.008336697756443563,-0.4033676976042054,0.915,23.794272950536634,271.1840055746783,0.6321457330376212,0.632145733037619
9,-0.29378180940192755,0.30768043237185144,0.905,25.176716940609722,133.6762415246403,0.629219596115217,0.6292195961152163
10,0.44506911620476447,-0.029807411841852493,0.895,26.49157020035607,356.1684774746023,0.6263256220238571,0.6263256220238567
11,-0.36356091224056825,-0.29085814943165306,0.885,27.7484787006534,218.66071342456425,0.6234638103908255,0.6234638103908212
12,0.07445680071198167,0.47836302619217574,0.875,28.95502437185985,81.15294937452629,0.6206341608618814,0.6206341608618813
13,0.27800581920885037,-0.41771732605437384,0.865,30.117294747322063,303.6451853244883,0.6178366730993966,0.6178366730993956
14,-0.5035220099089656,0.12426015265255236,0.855,31.240265216181673,166.1374212744511,0.61507134678075,0.6150713467807489
15,0.46938314425793876,0.25623127031361925,0.845,32.328064122162274,28.629657224412306,0.6123381815969879,0.6123381815969889
16,-0.178036608885238,-0.5206514821803976,0.835,33.38416180634828,251.12189317437512,0.6096371772517144,0.6096371772517151
17,-0.2263780397108227,0.5178107599661147,0.825,34.411508669769454,113.61412912433632,0.6069683334601471,0.6069683334601478
18,0.5298005482856456,-0.2347048764645281,0.815,35.41263811105957,336.1063650742991,0.6043316499483544,0.6043316499483528
19,-0.5622917434517565,-0.1892167943021553,0.8049999999999999,36.38974467753356,198.59860102426032,0.601727126452561,0.6017271264525607
20,0.29324857762074485,0.5310181463221477,0.795,37.34474435401478,61.09083697422315,0.5991547627185841,0.5991547627185834
21,0.1454916484121819,-0.6021687307078524,0.785,38.27932173792774,283.58307292418596,0.5966145585012874,0.5966145585012865
22,-0.5243836430365365,0.3526992981503226,0.775,39.194967425982945,146.07530887414714,0.5941065135641315,0.5941065135641337
23,0.6368434976776907,0.09594456454455917,0.765,40.093007985129766,8.567544824109973,0.5916306276787394,0.5916306276787382
24,-0.41212906099848196,-0.5100241534285505,0.755,40.974630229445324,231.05978077407116,0.5891869006244832,0.5891869006244828
